Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",C_Disc_D4.3mm_W1.9mm_P5.08mm,6,0.1u,
C7,CP_Radial_D5.0mm_P2.00mm,1,10u,
D2,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4001,
J1,IIE_Aux,1,Apple IIe Aux,
J2,PinHeader_1x02_P2.54mm_Horizontal,1,Double HiRes,
J3,PinSocket_2x30_P2.54mm,1,Aux,
J4,PinHeader_1x02_P2.54mm_Horizontal,1,PAL,
J5,PinSocket_1x08_P2.54mm_Vertical,1,Y,
J6,PinSocket_1x08_P2.54mm_Vertical,1,X,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,4K7,
RN1,R_Array_SIP9,1,4K7,
"U1, U5, U6, U7",DIP-20_W7.62mm,4,SN74LVC245AN,
U2,TangNano9K,1,TangNano9K,
U3,DIP-20_W7.62mm_Socket,1,74LS245,
U4,DIP-20_W7.62mm_Socket,1,74LS374,
